company_or_topic,total_records,risk_records,avg_sentiment,avg_risk_sentiment_score
General AI,717,406,0.06192203626220363,0.39501494072524407
OpenAI,166,95,0.07659819277108434,0.39107989457831327
Anthropic,107,51,0.06714205607476637,0.38603668224299065
Google,72,26,0.11094444444444444,0.36290972222222223
Meta,33,15,0.17996969696969697,0.3434962121212121
Microsoft,39,16,0.24581538461538463,0.3116653846153846
xAI,17,5,0.2302705882352941,0.3070308823529412
